,Movie,Year Released,IMDb,n_IMDb,Metascore,Votes
461, La Cage aux Folles,1978,7.2,72.0,61.0,12K
462, F.I.S.T.,1978,6.4,64.0,54.0,8.8K
463, Sgt. Pepper's Lonely Hearts Club Band,1978,4.2,42.0,27.0,7K
464, Eyes of Laura Mars,1978,6.2,62.0,49.0,12K
465,Kramer vs. Kramer,1979,7.8,78.0,77.0,155K
466,The Amityville Horror,1979,6.2,62.0,28.0,45K
467,Apocalypse Now,1979,8.4,84.0,94.0,713K
468,Star Trek: The Motion Picture,1979,6.4,64.0,50.0,97K
469,Alien,1979,8.5,85.0,89.0,955K
470,The Muppet Movie,1979,7.6,76.0,74.0,39K
471,10,1979,6.1,61.0,68.0,19K
472,The Jerk,1979,7.1,71.0,61.0,64K
473,Moonraker,1979,6.2,62.0,66.0,109K
474, The Electric Horseman,1979,6.4,64.0,64.0,10K
